Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;;LONGITUD;LATITUD;DIRECCION
001 a;440443,61;4474290,65;04/12/2019;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;2;BiciMAD;30;;-3.70199802576925;40.4171107953153; CALLE DE ALCALA, 2
001 b;440480,56;4474301,74;06/02/2020;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;6;BiciMAD;30;;-3.70156356056622;40.4172133427666; CALLE DE ALCALA, 6
2;440134,83;4474678,23;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;MIGUEL MOYA, CALLE, DE;1;BiciMAD;24;;-3.7056738708445;40.4205801410996; CALLE DE MIGUEL MOYA, 1
3;440012,98;4475760,68;23/06/2014;07  CHAMBERÍ;07-02 ARAPILES;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL;2;BiciMAD;18;;-3.70721222717123;40.4303225635761; PLAZA DEL CONDE DEL VALLE DE SUCHIL, 2
4;440396,4;4475565,36;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;MANUELA MALASAÑA, CALLE, DE;3;BiciMAD;24;;-3.70267393708668;40.4285905943729; CALLE DE MANUELA MALASAÑA, 3
5;440446,9;4475539,69;23/06/2014;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;106;BiciMAD;27;;-3.70207622424503;40.4283629640739; CALLE DE FUENCARRAL, 106
6;440754,26;4475071,08;23/06/2014;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;63;BiciMAD;24;;-3.69840932124385;40.4241634531642; CALLE DE HORTALEZA, 63
7;440811,97;4475187,49;23/06/2014;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;75;BiciMAD;21;;-3.69773989991129;40.4252162366264; CALLE DE HORTALEZA, 75
8;441020,56;4475463,16;23/06/2014;07  CHAMBERÍ;07-04 ALMAGRO;ALONSO MARTINEZ, PLAZA, DE;6;BiciMAD;24;;-3.69530667556384;40.4277144154432; PLAZA DE ALONSO MARTINEZ, 6
9;439813,51;4474129,47;23/06/2014;01  CENTRO;01-01 PALACIO;SAN MIGUEL, PLAZA, DE;9;BiciMAD;24;;-3.70940929938434;40.4156134806993; PLAZA DE SAN MIGUEL, 9
10;441292,12;4475204,43;23/06/2014;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;16;BiciMAD;24;;-3.69208159439143;40.425402860376; CALLE DEL MARQUES DE LA ENSENADA, 16
11;440314,86;4475395,19;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;20;BiciMAD;24;;-3.7036191769509;40.4270517794408; CALLE DE SAN ANDRES, 20
12;440095,53;4475560,73;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;87;BiciMAD;24;;-3.70622023810713;40.4285272736706; CALLE DE SAN BERNARDO, 87
13;439733,78;4475434,65;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;CONDE DUQUE, CALLE, DEL;22;BiciMAD;24;;-3.71047268550976;40.427365360857; CALLE DEL CONDE DUQUE, 22
14;439476,22;4475282,19;23/06/2014;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;VENTURA RODRIGUEZ, CALLE, DE;2;BiciMAD;24;;-3.71349429901625;40.4259732363497; CALLE DE VENTURA RODRIGUEZ, 2
15;440006,74;4475294,34;20/02/2020;01  CENTRO;01-05 UNIVERSIDAD;SAN VICENTE FERRER, CALLE, DE;62;BiciMAD;21;;-3.70724177921288;40.4261211146543; CALLE DE SAN VICENTE FERRER, 62
16;439982,59;4474940,94;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;22;BiciMAD;21;;-3.7074930977251;40.4229357859724; CALLE DE SAN BERNARDO, 22
17;440263,35;4474964,43;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;CARLOS CAMBRONERO, PLAZA, DE;2;BiciMAD;24;;-3.70418590638544;40.423167599299; PLAZA DE CARLOS CAMBRONERO, 2
18;440653,13;4474711,92;23/06/2014;01  CENTRO;01-04 JUSTICIA;PEDRO ZEROLO, PLAZA, DE;1;BiciMAD;24;;-3.69956787320867;40.4209207635836; PLAZA DE PEDRO ZEROLO, 1
19;441008,01;4474818,09;23/06/2014;01  CENTRO;01-04 JUSTICIA;PRIM, CALLE, DE;4;BiciMAD;24;;-3.69539476751156;40.421902428886; CALLE DE PRIM, 4
20;441021,37;4474517,89;23/06/2014;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;49;BiciMAD;24;;-3.69520945131572;40.4191990297868; CALLE DE ALCALA, 49
020 ampliacion;441014,52;4474516,49;10/07/2018;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;49;BiciMAD;6;;-3.69529006007843;40.4191859323884; CALLE DE ALCALA, 49
22;440064,4;4474630,53;23/06/2014;01  CENTRO;01-06 SOL;JACOMETREZO, CALLE, DE;1;BiciMAD;24;;-3.7064995247826;40.4201453675747; CALLE DE JACOMETREZO, 1
23;439912,56;4474639,35;23/06/2014;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, CUESTA, DE;S/N;BiciMAD;24;;-3.70829006444;40.4202138717013; CUESTA DE SANTO DOMINGO, S/N
24;439715,67;4474384,75;23/06/2014;01  CENTRO;01-01 PALACIO;CARLOS III, CALLE, DE;1;BiciMAD;24;;-3.71058663483692;40.4179060785629; CALLE DE CARLOS III, 1
025 a;440104,48;4474318,99;23/06/2014;01  CENTRO;01-06 SOL;CELENQUE, PLAZA, DEL;1;BiciMAD;24;;-3.70599777175515;40.4173417566918; PLAZA DEL CELENQUE, 1
025 b;440102,16;4474309,87;23/06/2014;01  CENTRO;01-06 SOL;CELENQUE, PLAZA, DEL;1;BiciMAD;24;;-3.70602425716757;40.4172594325046; PLAZA DEL CELENQUE, 1
26;441081,06;4475031,74;23/06/2014;01  CENTRO;01-04 JUSTICIA;SALESAS, PLAZA, DE LAS;8;BiciMAD;24;;-3.69455351350154;40.4238322663594; PLAZA DE LAS SALESAS, 8
27;440984,74;4473861,49;23/06/2014;01  CENTRO;01-03 CORTES;JESUS, CALLE, DE;6;BiciMAD;27;;-3.69558029823837;40.4132832615549; CALLE DE JESUS, 6
